Rxn name	Formula	Gene-reaction association	LB	UB	Objective
12DGR120tipp	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)[p] => 1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)[c] 		  0.00	1000.00	  0.00
12DGR140tipp	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)[p] => 1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)[c] 		  0.00	1000.00	  0.00
12DGR141tipp	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)[p] => 1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)[c] 		  0.00	1000.00	  0.00
12DGR160tipp	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)[p] => 1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)[c] 		  0.00	1000.00	  0.00
12DGR161tipp	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)[p] => 1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)[c] 		  0.00	1000.00	  0.00
12DGR180tipp	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)[p] => 1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)[c] 		  0.00	1000.00	  0.00
12DGR181tipp	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)[p] => 1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)[c] 		  0.00	1000.00	  0.00
12PPDRtex	(R)-Propane-1,2-diol[e] <=> (R)-Propane-1,2-diol[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
12PPDRtpp	(R)-Propane-1,2-diol[p] <=> (R)-Propane-1,2-diol[c] 		-1000.00	1000.00	  0.00
12PPDStex	(S)-Propane-1,2-diol[e] <=> (S)-Propane-1,2-diol[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
12PPDStpp	(S)-Propane-1,2-diol[p] <=> (S)-Propane-1,2-diol[c] 		-1000.00	1000.00	  0.00
13PPDH2	3-Hydroxypropanal[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> 1,3-Propanediol[c] + Nicotinamide adenine dinucleotide phosphate[c] 	b3011	-1000.00	1000.00	  0.00
14GLUCANabcpp	1,4-alpha-D-glucan[p] + ATP C10H12N5O13P3[c] + H2O H2O[c] => 1,4-alpha-D-glucan[c] + ADP C10H12N5O10P2[c] + H+[c] + Phosphate[c] 	b4032 and b4034 and b4035 and b4033	  0.00	1000.00	  0.00
14GLUCANtexi	1,4-alpha-D-glucan[e] => 1,4-alpha-D-glucan[p] 	b4036	  0.00	1000.00	  0.00
23CAMPtex	2',3'-Cyclic AMP[e] <=> 2',3'-Cyclic AMP[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
23CCMPtex	2',3'-Cyclic CMP[e] <=> 2',3'-Cyclic CMP[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
23CGMPtex	2',3'-Cyclic GMP[e] <=> 2',3'-Cyclic GMP[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
23CUMPtex	2',3'-Cyclic UMP[e] <=> 2',3'-Cyclic UMP[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
23DAPPAt2pp	2,3-diaminopropionate[p] + H+[p] => 2,3-diaminopropionate[c] + H+[c] 		  0.00	1000.00	  0.00
23DAPPAtex	2,3-diaminopropionate[e] <=> 2,3-diaminopropionate[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
23DOGULNt4pp	2,3-Dioxo-L-gulonate[p] + Sodium[p] => 2,3-Dioxo-L-gulonate[c] + Sodium[c] 	b3577 and b3579 and b3578	  0.00	1000.00	  0.00
23PDE2pp	2',3'-Cyclic UMP[p] + H2O H2O[p] => 3  UMP C9H11N2O9P[p] + H+[p] 	b4213	  0.00	1000.00	  0.00
23PDE4pp	2',3'-Cyclic CMP[p] + H2O H2O[p] => 3  CMP C9H12N3O8P[p] + H+[p] 	b4213	  0.00	1000.00	  0.00
23PDE7pp	2',3'-Cyclic AMP[p] + H2O H2O[p] => 3  AMP C10H12N5O7P[p] + H+[p] 	b4213	  0.00	1000.00	  0.00
23PDE9pp	2',3'-Cyclic GMP[p] + H2O H2O[p] => Guanosine 3  phosphate C10H12N5O8P[p] + H+[p] 	b4213	  0.00	1000.00	  0.00
26DAHtex	Meso-2,6-Diaminoheptanedioate[e] <=> Meso-2,6-Diaminoheptanedioate[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
2AGPA120tipp	2-dodecanoyl-sn-glycerol 3-phosphate[p] => 2-dodecanoyl-sn-glycerol 3-phosphate[c] 	b2835	  0.00	1000.00	  0.00
2AGPA140tipp	2-tetradecanoyl-sn-glycerol 3-phosphate[p] => 2-tetradecanoyl-sn-glycerol 3-phosphate[c] 	b2835	  0.00	1000.00	  0.00
2AGPA141tipp	2-tetradec-7-enoyl-sn-glycerol 3-phosphate[p] => 2-tetradec-7-enoyl-sn-glycerol 3-phosphate[c] 	b2835	  0.00	1000.00	  0.00
2AGPA160tipp	2-hexadecanoyl-sn-glycerol 3-phosphate[p] => 2-hexadecanoyl-sn-glycerol 3-phosphate[c] 	b2835	  0.00	1000.00	  0.00
2AGPA161tipp	2-hexadec-9-enoyl-sn-glycerol 3-phosphate[p] => 2-hexadec-9-enoyl-sn-glycerol 3-phosphate[c] 	b2835	  0.00	1000.00	  0.00
2AGPA180tipp	2-octadecanoyl-sn-glycerol 3-phosphate[p] => 2-octadecanoyl-sn-glycerol 3-phosphate[c] 	b2835	  0.00	1000.00	  0.00
2AGPA181tipp	2-octadec-11-enoyl-sn-glycerol 3-phosphate[p] => 2-octadec-11-enoyl-sn-glycerol 3-phosphate[c] 	b2835	  0.00	1000.00	  0.00
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)[p] => 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)[c] 	b2835	  0.00	1000.00	  0.00
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)[p] => 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)[c] 	b2835	  0.00	1000.00	  0.00
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)[p] => 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)[c] 	b2835	  0.00	1000.00	  0.00
2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)[p] => 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)[c] 	b2835	  0.00	1000.00	  0.00
2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)[p] => 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)[c] 	b2835	  0.00	1000.00	  0.00
2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)[p] => 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)[c] 	b2835	  0.00	1000.00	  0.00
2AGPE181tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)[p] => 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)[c] 	b2835	  0.00	1000.00	  0.00
2AGPEAT120	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)[c] + ATP C10H12N5O13P3[c] + Dodecanoate (n-C12:0)[c] => AMP C10H12N5O7P[c] + Phosphatidylethanolamine (didodecanoyl, n-C12:0)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2AGPEAT140	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)[c] + ATP C10H12N5O13P3[c] + Tetradecanoate (n-C14:0)[c] => AMP C10H12N5O7P[c] + Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2AGPEAT141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)[c] + ATP C10H12N5O13P3[c] + Tetradecenoate (n-C14:1)[c] => AMP C10H12N5O7P[c] + Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2AGPEAT160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)[c] + ATP C10H12N5O13P3[c] + Hexadecanoate (n-C16:0)[c] => AMP C10H12N5O7P[c] + Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
