Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ACALD	Acetaldehyde[c] + Coenzyme A[c] + Nicotinamide adenine dinucleotide[c] <=> Acetyl-CoA[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] 	b0351 or b1241	-1000.00	1000.00	  0.00
ACALDt	Acetaldehyde[e] <=> Acetaldehyde[c] 	s0001	-1000.00	1000.00	  0.00
ACKr	Acetate[c] + ATP C10H12N5O13P3[c] <=> Acetyl phosphate[c] + ADP C10H12N5O10P2[c] 	b3115 or b2296 or b1849	-1000.00	1000.00	  0.00
ACONTa	Citrate[c] <=> Cis-Aconitate[c] + H2O H2O[c] 	b0118 or b1276	-1000.00	1000.00	  0.00
ACONTb	Cis-Aconitate[c] + H2O H2O[c] <=> Isocitrate[c] 	b0118 or b1276	-1000.00	1000.00	  0.00
ACt2r	Acetate[e] + H+[e] <=> Acetate[c] + H+[c] 		-1000.00	1000.00	  0.00
ADK1	AMP C10H12N5O7P[c] + ATP C10H12N5O13P3[c] <=> 2 ADP C10H12N5O10P2[c] 	b0474	-1000.00	1000.00	  0.00
AKGDH	2-Oxoglutarate[c] + Coenzyme A[c] + Nicotinamide adenine dinucleotide[c] => CO2 CO2[c] + Nicotinamide adenine dinucleotide - reduced[c] + Succinyl-CoA[c] 	b0116 and b0726 and b0727	  0.00	1000.00	  0.00
AKGt2r	2-Oxoglutarate[e] + H+[e] <=> 2-Oxoglutarate[c] + H+[c] 	b2587	-1000.00	1000.00	  0.00
ALCD2x	Ethanol[c] + Nicotinamide adenine dinucleotide[c] <=> Acetaldehyde[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] 	b0356 or b1478 or b1241	-1000.00	1000.00	  0.00
ATPM	ATP C10H12N5O13P3[c] + H2O H2O[c] => ADP C10H12N5O10P2[c] + H+[c] + Phosphate[c] 		  8.39	1000.00	  0.00
ATPS4r	ADP C10H12N5O10P2[c] + 4 H+[e] + Phosphate[c] <=> ATP C10H12N5O13P3[c] + H2O H2O[c] + 3 H+[c] 	((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735)) or ((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735) and b3739)	-1000.00	1000.00	  0.00
BIOMASS_Ecoli_core_w_GAM	1.496 3-Phospho-D-glycerate[c] + 3.7478 Acetyl-CoA[c] + 59.81 ATP C10H12N5O13P3[c] + 0.361 D-Erythrose 4-phosphate[c] + 0.0709 D-Fructose 6-phosphate[c] + 0.129 Glyceraldehyde 3-phosphate[c] + 0.205 D-Glucose 6-phosphate[c] + 0.2557 L-Glutamine[c] + 4.9414 L-Glutamate[c] + 59.81 H2O H2O[c] + 3.547 Nicotinamide adenine dinucleotide[c] + 13.0279 Nicotinamide adenine dinucleotide phosphate - reduced[c] + 1.7867 Oxaloacetate[c] + 0.5191 Phosphoenolpyruvate[c] + 2.8328 Pyruvate[c] + 0.8977 Alpha-D-Ribose 5-phosphate[c] => 59.81 ADP C10H12N5O10P2[c] + 4.1182 2-Oxoglutarate[c] + 3.7478 Coenzyme A[c] + 59.81 H+[c] + 3.547 Nicotinamide adenine dinucleotide - reduced[c] + 13.0279 Nicotinamide adenine dinucleotide phosphate[c] + 59.81 Phosphate[c] 		  0.00	1000.00	  1.00
CO2t	CO2 CO2[e] <=> CO2 CO2[c] 	s0001	-1000.00	1000.00	  0.00
CS	Acetyl-CoA[c] + H2O H2O[c] + Oxaloacetate[c] => Citrate[c] + Coenzyme A[c] + H+[c] 	b0720	  0.00	1000.00	  0.00
CYTBD	2 H+[c] + 0.5 O2 O2[c] + Ubiquinol-8[c] => H2O H2O[c] + 2 H+[e] + Ubiquinone-8[c] 	(b0978 and b0979) or (b0733 and b0734)	  0.00	1000.00	  0.00
D_LACt2	H+[e] + D-Lactate[e] <=> H+[c] + D-Lactate[c] 	b2975 or b3603	-1000.00	1000.00	  0.00
ENO	D-Glycerate 2-phosphate[c] <=> H2O H2O[c] + Phosphoenolpyruvate[c] 	b2779	-1000.00	1000.00	  0.00
ETOHt2r	Ethanol[e] + H+[e] <=> Ethanol[c] + H+[c] 		-1000.00	1000.00	  0.00
EX_ac_e	Acetate[e] =>  		  0.00	1000.00	  0.00
EX_acald_e	Acetaldehyde[e] =>  		  0.00	1000.00	  0.00
EX_akg_e	2-Oxoglutarate[e] =>  		  0.00	1000.00	  0.00
EX_co2_e	CO2 CO2[e] <=>  		-1000.00	1000.00	  0.00
EX_etoh_e	Ethanol[e] =>  		  0.00	1000.00	  0.00
