Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0001	(R)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c] 	(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W)	  0.00	1000.00	  0.00
r_0002	(R)-lactate[m] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[m] 	(YDL178W and YEL039C) or (YDL178W and YJR048W)	  0.00	1000.00	  0.00
r_0003	(R,R)-2,3-butanediol[c] + NAD[c] <=> (R)-acetoin[c] + H+[c] + NADH[c] 	YAL060W	-1000.00	1000.00	  0.00
r_0004	(S)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c] 	(YEL039C and YML054C) or (YJR048W and YML054C)	  0.00	1000.00	  0.00
r_0005	UDP-D-glucose[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c] 	(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W)	  0.00	1000.00	  0.00
r_0006	UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c] 	YGR143W or YPR159W	  0.00	1000.00	  0.00
r_0007	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c] => 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c] 	YIL020C	  0.00	1000.00	  0.00
r_0012	1-pyrroline-5-carboxylate[m] + 2 H2O[m] + NAD[m] => H+[m] + L-glutamate[m] + NADH[m] 	YHR037W	  0.00	1000.00	  0.00
r_0013	5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + 3 H2O[c] => 4-methylthio-2-oxobutanoate[c] + formate[c] + 6 H+[c] + phosphate[c] 	YEL038W and YMR009W	  0.00	1000.00	  0.00
r_0014	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c] => 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c] 	YOL066C	  0.00	1000.00	  0.00
r_0015	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c] => 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c] 	YBR153W	  0.00	1000.00	  0.00
r_0016	2-oxobutanoate[m] + H+[m] + pyruvate[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m] 	(YCL009C and YMR108W) or YMR108W	  0.00	1000.00	  0.00
r_0017	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + ATP[m] => (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + AMP[m] + H+[m] 	YNL256W	  0.00	1000.00	  0.00
r_0018	2-oxoadipic acid[c] + L-glutamate[c] <=> 2-oxoglutarate[c] + L-2-aminoadipate[c] 	YER152C or YGL202W or YJL060W	-1000.00	1000.00	  0.00
r_0019	2-dehydropantoate[c] + H+[c] + NADPH[c] => (R)-pantoate[c] + NADP(+)[c] 	YHR063C	  0.00	1000.00	  0.00
r_0020	D-erythrose 4-phosphate[m] + H2O[m] + phosphoenolpyruvate[m] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[m] + phosphate[m] 	YDR035W or YBR249C	  0.00	1000.00	  0.00
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + S-adenosyl-L-methionine[m] => 2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone[m] + H+[m] + S-adenosyl-L-homocysteine[m] 	YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C	  0.00	1000.00	  0.00
r_0022	2-hexaprenyl-6-methoxyphenol[m] + oxygen[m] => 2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + H2O[m] 	YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C	  0.00	1000.00	  0.00
r_0023	2-isopropylmaleic acid[c] + H2O[c] <=> 2-isopropylmalate[c] 	YGL009C	-1000.00	1000.00	  0.00
r_0024	3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c] => 2-isopropylmalate[c] + coenzyme A[c] + H+[c] 	YNL104C or YOR108W	  0.00	1000.00	  0.00
r_0025	3-methyl-2-oxobutanoate[m] + acetyl-CoA[m] + H2O[m] => 2-isopropylmalate[m] + coenzyme A[m] + H+[m] 	YNL104C	  0.00	1000.00	  0.00
r_0026	4-methylthio-2-oxobutanoate[c] + L-glutamate[c] => 2-oxoglutarate[c] + L-methionine[c] 	YHR208W or YJR148W or YGL202W or YHR137W	  0.00	1000.00	  0.00
r_0027	homocitrate[m] <=> but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m] 	YDR234W	-1000.00	1000.00	  0.00
